Altitude,Heat Capacity Ratio,Sound Speed
m,-,m/s
3100,1.4,328.1863186
3110,1.4,328.1465578
3120,1.4,328.1067923
3130,1.4,328.0670221
3140,1.4,328.0272472
3150,1.4,327.9874676
3160,1.4,327.9476833
3170,1.4,327.9078943
3180,1.4,327.8681006
3190,1.4,327.8283022
3200,1.4,327.7884991
3210,1.4,327.7486913
3220,1.4,327.7088787
3230,1.4,327.6690615
3240,1.4,327.6292395
3250,1.4,327.5894129
3260,1.4,327.5495815
3270,1.4,327.5097453
3280,1.4,327.4699045
3290,1.4,327.430059
3300,1.4,327.3902087
3310,1.4,327.3503537
3320,1.4,327.3104939
3330,1.4,327.2706295
3340,1.4,327.2307603
3350,1.4,327.1908864
3360,1.4,327.1510077
3370,1.4,327.1111243
3380,1.4,327.0712362
3390,1.4,327.0313433
3400,1.4,326.9914457
3410,1.4,326.9515433
3420,1.4,326.9116362
3430,1.4,326.8717244
3440,1.4,326.8318078
3450,1.4,326.7918864
3460,1.4,326.7519603
3470,1.4,326.7120295
3480,1.4,326.6720939
3490,1.4,326.6321535
3500,1.4,326.5922084
3510,1.4,326.5522585
3520,1.4,326.5123038
3530,1.4,326.4723444
3540,1.4,326.4323802
3550,1.4,326.3924113
3560,1.4,326.3524376
3570,1.4,326.3124591
3580,1.4,326.2724758
3590,1.4,326.2324878
3600,1.4,326.192495
3610,1.4,326.1524974
3620,1.4,326.112495
3630,1.4,326.0724879
3640,1.4,326.0324759
3650,1.4,325.9924592
3660,1.4,325.9524377
3670,1.4,325.9124114
3680,1.4,325.8723803
3690,1.4,325.8323445
3700,1.4,325.7923038
3710,1.4,325.7522583
3720,1.4,325.7122081
3730,1.4,325.672153
3740,1.4,325.6320931
3750,1.4,325.5920285
3760,1.4,325.551959
3770,1.4,325.5118847
3780,1.4,325.4718056
3790,1.4,325.4317217
3800,1.4,325.391633
3810,1.4,325.3515395
3820,1.4,325.3114412
3830,1.4,325.271338
3840,1.4,325.23123
3850,1.4,325.1911172
3860,1.4,325.1509996
3870,1.4,325.1108772
3880,1.4,325.0707499
3890,1.4,325.0306178
3900,1.4,324.9904809
3910,1.4,324.9503391
3920,1.4,324.9101926
3930,1.4,324.8700411
3940,1.4,324.8298849
3950,1.4,324.7897238
3960,1.4,324.7495578
3970,1.4,324.709387
3980,1.4,324.6692114
3990,1.4,324.629031
4000,1.4,324.5888456
4010,1.4,324.5486555
4020,1.4,324.5084604
4030,1.4,324.4682606
4040,1.4,324.4280558
4050,1.4,324.3878463
4060,1.4,324.3476318
4070,1.4,324.3074125
4080,1.4,324.2671884
4090,1.4,324.2269593
4100,1.4,324.1867254
4110,1.4,324.1464867
4120,1.4,324.106243
4130,1.4,324.0659945
4140,1.4,324.0257412
4150,1.4,323.9854829
4160,1.4,323.9452198
4170,1.4,323.9049518
4180,1.4,323.8646789
4190,1.4,323.8244011
4200,1.4,323.7841185
4210,1.4,323.743831
4220,1.4,323.7035385
4230,1.4,323.6632412
4240,1.4,323.622939
4250,1.4,323.5826319
4260,1.4,323.5423199
4270,1.4,323.5020031
4280,1.4,323.4616813
4290,1.4,323.4213546
4300,1.4,323.381023
4310,1.4,323.3406865
4320,1.4,323.3003451
4330,1.4,323.2599988
4340,1.4,323.2196476
4350,1.4,323.1792915
4360,1.4,323.1389304
4370,1.4,323.0985645
4380,1.4,323.0581936
4390,1.4,323.0178178
4400,1.4,322.9774371
4410,1.4,322.9370515
4420,1.4,322.8966609
4430,1.4,322.8562654
4440,1.4,322.815865
4450,1.4,322.7754597
4460,1.4,322.7350494
4470,1.4,322.6946342
4480,1.4,322.6542141
4490,1.4,322.613789
4500,1.4,322.573359
4510,1.4,322.532924
4520,1.4,322.4924841
4530,1.4,322.4520393
4540,1.4,322.4115895
4550,1.4,322.3711348
4560,1.4,322.3306751
4570,1.4,322.2902104
4580,1.4,322.2497408
4590,1.4,322.2092663
4600,1.4,322.1687868
4610,1.4,322.1283023
4620,1.4,322.0878129
4630,1.4,322.0473185
4640,1.4,322.0068191
4650,1.4,321.9663148
4660,1.4,321.9258055
4670,1.4,321.8852913
4680,1.4,321.844772
4690,1.4,321.8042478
4700,1.4,321.7637186
4710,1.4,321.7231845
4720,1.4,321.6826453
4730,1.4,321.6421012
4740,1.4,321.6015521
4750,1.4,321.560998
4760,1.4,321.5204389
4770,1.4,321.4798748
4780,1.4,321.4393058
4790,1.4,321.3987317
4800,1.4,321.3581527
4810,1.4,321.3175686
4820,1.4,321.2769796
4830,1.4,321.2363855
4840,1.4,321.1957865
4850,1.4,321.1551824
4860,1.4,321.1145733
4870,1.4,321.0739593
4880,1.4,321.0333402
4890,1.4,320.9927161
4900,1.4,320.952087
4910,1.4,320.9114528
4920,1.4,320.8708137
4930,1.4,320.8301695
4940,1.4,320.7895204
4950,1.4,320.7488661
4960,1.4,320.7082069
4970,1.4,320.6675426
4980,1.4,320.6268734
4990,1.4,320.586199
5000,1.4,320.5455197
5010,1.4,320.5048353
5020,1.4,320.4641458
5030,1.4,320.4234514
5040,1.4,320.3827519
5050,1.4,320.3420473
5060,1.4,320.3013377
5070,1.4,320.2606231
5080,1.4,320.2199034
5090,1.4,320.1791786
5100,1.4,320.1384488
5110,1.4,320.097714
5120,1.4,320.0569741
5130,1.4,320.0162291
5140,1.4,319.9754791
5150,1.4,319.934724
5160,1.4,319.8939639
5170,1.4,319.8531986
5180,1.4,319.8124284
5190,1.4,319.771653
5200,1.4,319.7308726
5210,1.4,319.6900871
5220,1.4,319.6492965
5230,1.4,319.6085008
5240,1.4,319.5677001
5250,1.4,319.5268943
5260,1.4,319.4860834
5270,1.4,319.4452674
5280,1.4,319.4044463
5290,1.4,319.3636202
5300,1.4,319.3227889
5310,1.4,319.2819526
5320,1.4,319.2411111
5330,1.4,319.2002646
5340,1.4,319.159413
5350,1.4,319.1185562
5360,1.4,319.0776944
5370,1.4,319.0368274
5380,1.4,318.9959554
5390,1.4,318.9550782
5400,1.4,318.9141959
5410,1.4,318.8733085
5420,1.4,318.832416
5430,1.4,318.7915184
5440,1.4,318.7506157
5450,1.4,318.7097078
5460,1.4,318.6687948
5470,1.4,318.6278767
5480,1.4,318.5869535
5490,1.4,318.5460251
5500,1.4,318.5050917
5510,1.4,318.464153
5520,1.4,318.4232093
5530,1.4,318.3822604
5540,1.4,318.3413063
5550,1.4,318.3003472
5560,1.4,318.2593828
5570,1.4,318.2184134
5580,1.4,318.1774388
5590,1.4,318.136459
5600,1.4,318.0954741
5610,1.4,318.0544841
