q_1,q_2,q_3,q_4,u_RCS_1,u_RCS_2,u_RCS_3,u_RCS_4,u_RCS_5,u_RCS_6,u_RCS_7,u_RCS_8,u_RCS_9,u_RCS_10,u_RCS_11,u_RCS_12
0,0.339110105806287,-0.616200185764462,0.710845740793241,1.13743400425304e-08,1.13743400425304e-08,1.13743400425304e-08,1.13743400425304e-08,-2.30738358427522e-09,-2.30738358427522e-09,-2.30738358427522e-09,-2.30738358427522e-09,-1.83909865158582e-08,-1.83909865158582e-08,-1.83909865158582e-08,-1.83909865158582e-08
0,0.341097292896412,-0.632590838740926,0.695328316351198,8.02462118277928e-09,8.02462118277928e-09,8.02462118277928e-09,8.02462118277928e-09,-1.30437477869993e-09,-1.30437477869993e-09,-1.30437477869993e-09,-1.30437477869993e-09,-1.43769109831601e-08,-1.43769109831601e-08,-1.43769109831601e-08,-1.43769109831601e-08
0,0.343182927698923,-0.648695490513212,0.679278763633767,5.85236227288563e-09,5.85236227288563e-09,5.85236227288563e-09,5.85236227288563e-09,-7.27909524226909e-10,-7.27909524226909e-10,-7.27909524226909e-10,-7.27909524226909e-10,-1.17117581699864e-08,-1.17117581699864e-08,-1.17117581699864e-08,-1.17117581699864e-08
0,0.345388364529106,-0.664654197788907,0.662526735316767,4.37108446009518e-09,4.37108446009518e-09,4.37108446009518e-09,4.37108446009518e-09,-3.8685700649021e-10,-3.8685700649021e-10,-3.8685700649021e-10,-3.8685700649021e-10,-9.86331332387144e-09,-9.86331332387144e-09,-9.86331332387144e-09,-9.86331332387144e-09
0,0.347730272326408,-0.680603164989192,0.644874398247052,3.31950381567049e-09,3.31950381567049e-09,3.31950381567049e-09,3.31950381567049e-09,-1.84275019905411e-10,-1.84275019905411e-10,-1.84275019905411e-10,-1.84275019905411e-10,-8.54144640837841e-09,-8.54144640837841e-09,-8.54144640837841e-09,-8.54144640837841e-09
0,0.35021965656479,-0.696676614890668,0.626089359772325,2.54765252898913e-09,2.54765252898913e-09,2.54765252898913e-09,2.54765252898913e-09,-6.81269134473395e-11,-6.81269134473395e-11,-6.81269134473395e-11,-6.81269134473395e-11,-7.57749752629294e-09,-7.57749752629294e-09,-7.57749752629294e-09,-7.57749752629294e-09
0,0.352859697479078,-0.71300790242948,0.605895836731105,1.96487690301956e-09,1.96487690301956e-09,1.96487690301956e-09,1.96487690301956e-09,-9.54980630088678e-12,-9.54980630088678e-12,-9.54980630088678e-12,-9.54980630088678e-12,-6.86861836980247e-09,-6.86861836980247e-09,-6.86861836980247e-09,-6.86861836980247e-09
0,0.355641782432272,-0.72972945105925,0.583963912279827,1.51415884771164e-09,1.51415884771164e-09,1.51415884771164e-09,1.51415884771164e-09,7.44231728862636e-12,7.44231728862636e-12,7.44231728862636e-12,7.44231728862636e-12,-6.3500013789896e-09,-6.3500013789896e-09,-6.3500013789896e-09,-6.3500013789896e-09
0,0.358538667101205,-0.74697082591206,0.559896963225866,1.15866093979429e-09,1.15866093979429e-09,1.15866093979429e-09,1.15866093979429e-09,-8.94243533160426e-12,-8.94243533160426e-12,-8.94243533160426e-12,-8.94243533160426e-12,-5.98017090475144e-09,-5.98017090475144e-09,-5.98017090475144e-09,-5.98017090475144e-09
0,0.361492938722279,-0.76485389887184,0.533217937277504,8.74397125228348e-10,8.74397125228348e-10,8.74397125228348e-10,8.74397125228348e-10,-5.57551124911633e-11,-5.57551124911633e-11,-5.57551124911633e-11,-5.57551124911633e-11,-5.73285832663576e-09,-5.73285832663576e-09,-5.73285832663576e-09,-5.73285832663576e-09
0,0.3643975993833,-0.783483680438662,0.50335644631809,6.46219751646404e-10,6.46219751646404e-10,6.46219751646404e-10,6.46219751646404e-10,-1.34219724649215e-10,-1.34219724649215e-10,-1.34219724649215e-10,-1.34219724649215e-10,-5.59242511314717e-09,-5.59242511314717e-09,-5.59242511314717e-09,-5.59242511314717e-09
0,0.367063043565835,-0.802933309455173,0.469641163672383,4.65787281881268e-10,4.65787281881268e-10,4.65787281881268e-10,4.65787281881268e-10,-2.49606008784959e-10,-2.49606008784959e-10,-2.49606008784959e-10,-2.49606008784959e-10,-5.55132824616337e-09,-5.55132824616337e-09,-5.55132824616337e-09,-5.55132824616337e-09
0,0.369159502177549,-0.823222904829344,0.431306516199744,3.30898787070563e-10,3.30898787070563e-10,3.30898787070563e-10,3.30898787070563e-10,-4.11984675523343e-10,-4.11984675523343e-10,-4.11984675523343e-10,-4.11984675523343e-10,-5.60883510167761e-09,-5.60883510167761e-09,-5.60883510167761e-09,-5.60883510167761e-09
0,0.370111902285048,-0.844297275885438,0.387529727529865,2.45972545429276e-10,2.45972545429276e-10,2.45972545429276e-10,2.45972545429276e-10,-6.3820666898733e-10,-6.3820666898733e-10,-6.3820666898733e-10,-6.3820666898733e-10,-5.77049479224455e-09,-5.77049479224455e-09,-5.77049479224455e-09,-5.77049479224455e-09
0,0.368890513854602,-0.866024263273133,0.33752298323272,2.23683815813475e-10,2.23683815813475e-10,2.23683815813475e-10,2.23683815813475e-10,-9.56326947925977e-10,-9.56326947925977e-10,-9.56326947925977e-10,-9.56326947925977e-10,-6.04780697441827e-09,-6.04780697441827e-09,-6.04780697441827e-09,-6.04780697441827e-09
0,0.363527477703974,-0.888284535336981,0.280710450883736,2.87957945057692e-10,2.87957945057692e-10,2.87957945057692e-10,2.87957945057692e-10,-1.41641656524964e-09,-1.41641656524964e-09,-1.41641656524964e-09,-1.41641656524964e-09,-6.45653368210897e-09,-6.45653368210897e-09,-6.45653368210897e-09,-6.45653368210897e-09
0,0.349711518051489,-0.911377621876524,0.217008489430287,4.78805998908228e-10,4.78805998908228e-10,4.78805998908228e-10,4.78805998908228e-10,-2.12234269367425e-09,-2.12234269367425e-09,-2.12234269367425e-09,-2.12234269367425e-09,-7.00652912163319e-09,-7.00652912163319e-09,-7.00652912163319e-09,-7.00652912163319e-09
0,0.315060238059306,-0.93758766887524,0.147195141112425,8.60422070210042e-10,8.60422070210042e-10,8.60422070210042e-10,8.60422070210042e-10,-3.35436275209426e-09,-3.35436275209426e-09,-3.35436275209426e-09,-3.35436275209426e-09,-7.63643726426283e-09,-7.63643726426283e-09,-7.63643726426283e-09,-7.63643726426283e-09
0,0.196967683442059,-0.977649982775129,0.0735135556156776,1.53700389428235e-09,1.53700389428235e-09,1.53700389428235e-09,1.53700389428235e-09,-6.31272454960308e-09,-6.31272454960308e-09,-6.31272454960308e-09,-6.31272454960308e-09,-7.51024650984176e-09,-7.51024650984176e-09,-7.51024650984176e-09,-7.51024650984176e-09
0,-0.98997367099076,-0.140047977951559,0.018403657700525,2.68947486755076e-09,2.68947486755076e-09,2.68947486755076e-09,2.68947486755076e-09,8.98231199811469e-09,8.98231199811469e-09,8.98231199811469e-09,8.98231199811469e-09,7.93677891471993e-09,7.93677891471993e-09,7.93677891471993e-09,7.93677891471993e-09
0,-0.601392350005759,0.794636623522695,0.0829450294532512,4.67078258155552e-09,4.67078258155552e-09,4.67078258155552e-09,4.67078258155552e-09,2.13702928003829e-09,2.13702928003829e-09,2.13702928003829e-09,2.13702928003829e-09,-1.52236600395218e-08,-1.52236600395218e-08,-1.52236600395218e-08,-1.52236600395218e-08
0,-0.512855182226876,0.844577841875203,0.153843527899173,8.27854205082745e-09,8.27854205082745e-09,8.27854205082745e-09,8.27854205082745e-09,-1.89141392498802e-09,-1.89141392498802e-09,-1.89141392498802e-09,-1.89141392498802e-09,-2.10152037278264e-08,-2.10152037278264e-08,-2.10152037278264e-08,-2.10152037278264e-08
0,-0.475117805496266,0.852123103666378,0.219429458137214,1.56743470115734e-08,1.56743470115734e-08,1.56743470115734e-08,1.56743470115734e-08,-5.98265607014906e-09,-5.98265607014906e-09,-5.98265607014906e-09,-5.98265607014906e-09,-3.15794479970603e-08,-3.15794479970603e-08,-3.15794479970603e-08,-3.15794479970603e-08
