Time,r_1,r_2,r_3
338.738738738739,-0.036295992282809,-0.0336214779095794,-0.00840536947739485
345.945945945946,-0.0364207541850253,-0.0330774040452864,-0.00826935101132161
353.153153153153,-0.0365434772164327,-0.032531478474356,-0.008132869618589
360.36036036036,-0.0366641545068859,-0.0319837317581933,-0.00799593293954833
367.567567567568,-0.0367827793007311,-0.0314341945602873,-0.00785854864007183
374.774774774775,-0.0368993449572499,-0.03088289764421,-0.00772072441105249
381.981981981982,-0.0370138449509597,-0.0303298718722053,-0.00758246796805132
389.189189189189,-0.0371262728720535,-0.0297751482031327,-0.00744378705078317
396.396396396396,-0.0372366224266838,-0.0292187576910701,-0.00730468942276752
403.603603603604,-0.0373448874373875,-0.0286607314832441,-0.00716518287081102
410.810810810811,-0.0374510618433644,-0.0281011008185991,-0.00702527520464978
418.018018018018,-0.0375551397008756,-0.0275398970257697,-0.00688497425644243
425.225225225225,-0.037657115183528,-0.0269771515215577,-0.00674428788038941
432.432432432432,-0.0377569825826361,-0.026412895809001,-0.00660322395225025
439.63963963964,-0.0378547363075194,-0.0258471614757164,-0.00646179036892911
446.846846846847,-0.0379503708858237,-0.0252799801920955,-0.00631999504802387
454.054054054054,-0.0380438809638328,-0.024711383709496,-0.006177845927374
461.261261261261,-0.0381352613067502,-0.0241414038585688,-0.0060353509646422
468.468468468468,-0.0382245067990212,-0.0235700725473082,-0.00589251813682706
475.675675675676,-0.0383116124445811,-0.0229974217594894,-0.00574935543987234
482.882882882883,-0.03839657336718,-0.0224234835526079,-0.00560587088815197
490.09009009009,-0.038479384810606,-0.0218482900563898,-0.00546207251409746
497.297297297297,-0.0385600421390036,-0.0212718734706666,-0.00531796836766665
504.504504504504,-0.0386385408370812,-0.0206942660639063,-0.00517356651597657
511.711711711712,-0.0387148765104131,-0.0201155001710822,-0.00502887504277054
518.918918918919,-0.0387890448856415,-0.0195356081921612,-0.00488390204804031
526.126126126126,-0.0388610418107525,-0.0189546225900363,-0.00473865564750908
533.333333333333,-0.0389308632552805,-0.0183725758889024,-0.00459314397222561
540.540540540541,-0.0389985053105521,-0.0177895006723135,-0.00444737516807837
547.747747747748,-0.039063964189897,-0.0172054295814039,-0.00430135739535098
554.954954954955,-0.0391272362288576,-0.0166203953130938,-0.00415509882827346
562.162162162162,-0.0391883178854061,-0.0160344306181509,-0.00400860765453774
569.369369369369,-0.0392472057401225,-0.0154475682995334,-0.00386189207488335
576.576576576577,-0.0393038964964129,-0.0148598412103184,-0.0037149603025796
583.783783783784,-0.0393583869806626,-0.0142712822521447,-0.00356782056303616
590.990990990991,-0.0394106741424477,-0.0136819243730565,-0.00342048109326413
598.198198198198,-0.0394607550546713,-0.0130918005659898,-0.00327295014149746
605.405405405405,-0.0395086269137608,-0.0125009438665961,-0.00312523596664904
612.612612612613,-0.0395542870397946,-0.0119093873517012,-0.0029773468379253
619.81981981982,-0.0395977328766771,-0.0113171641371875,-0.00282929103429687
627.027027027027,-0.0396389619922632,-0.0107243073763451,-0.00268107684408628
634.234234234234,-0.0396779720785066,-0.0101308502578851,-0.00253271256447128
641.441441441441,-0.0397147609515832,-0.00953682600413124,-0.00238420650103281
648.648648648649,-0.039749326552013,-0.00894226786919281,-0.0022355669672982
655.855855855856,-0.0397816669447812,-0.00834720913699149,-0.00208680228424787
663.063063063063,-0.0398117803194362,-0.00775168311958097,-0.00193792077989524
670.27027027027,-0.0398396649902051,-0.00715572315503916,-0.00178893078875979
677.477477477477,-0.039865319396071,-0.00655936260589078,-0.0016398406514727
684.684684684685,-0.0398887421008787,-0.00596263485692089,-0.00149065871423022
691.891891891892,-0.0399099317933974,-0.00536557331363664,-0.00134139332840916
